time, A, V, D
1232877,-0.060000002,0.0,0.0
1232883,-0.050000012,-0.120000005,-1.2
1232898,-0.060000002,-0.4700001,-5.920001
1232915,-0.060000002,-0.9500001,-17.990002
1232932,-0.060000002,-1.4300001,-38.22
1232948,-0.060000002,-1.8500001,-62.820004
1232963,0.0,-2.3000002,-98.09501
1232980,0.0,-2.3000002,-137.195
1232997,0.0,-2.3000002,-176.29501
1233014,-0.060000002,-2.3000002,-213.09502
1233031,0.0,-2.8100002,-259.08502
1233047,-0.060000002,-2.8100002,-301.23502
1233064,0.0,-3.3200002,-356.40503
1233083,-0.06999999,-3.3200002,-409.52502
1233098,-0.060000002,-3.8100002,-470.13004
1233115,0.0,-4.32,-543.30005
1233130,-0.060000002,-4.32,-603.78
1233147,-0.060000002,-4.8,-681.30005
1233164,-0.060000002,-5.28,-766.98004
1233180,-0.01999998,-5.73,-855.06006
1233199,-0.050000012,-5.91,-965.6401
1233215,-0.050000012,-6.285,-1063.2001
1233231,0.0,-6.685,-1173.4451
1233248,-0.060000002,-6.685,-1280.405
1233264,0.0,-7.165,-1398.13
1233281,0.0,-7.165,-1519.935
1233298,-0.060000002,-7.165,-1627.41
1233313,0.0,-7.615,-1753.04
1233330,0.0,-7.615,-1882.495
1233347,0.0,-7.615,-2011.95
1233364,-0.050000012,-7.615,-2133.79
1233380,0.0,-8.014999,-2266.645
1233398,0.0,-8.014999,-2410.915
1233414,-0.050000012,-8.014999,-2531.1401
1233430,0.0,-8.414999,-2670.7952
1233450,-0.050000012,-8.414999,-2822.2651
1233465,-0.050000012,-8.764999,-2959.705
1233482,-0.050000012,-9.164999,-3112.11
1233497,-0.060000002,-9.514999,-3252.2102
1233512,0.0,-9.964999,-3408.0503
1233531,0.0,-9.964999,-3597.3853
1233547,0.0,-9.964999,-3756.8252
1233564,0.0,-9.964999,-3926.2302
1233581,0.0,-9.964999,-4095.6353
1233598,0.0,-9.964999,-4265.04
1233614,0.0,-9.964999,-4424.48
1233631,0.0,-9.964999,-4593.885
1233648,0.0,-9.964999,-4763.2896
1233663,0.0,-9.964999,-4912.7646
1233680,0.0,-9.964999,-5082.1694
1233697,0.0,-9.964999,-5251.574
1233714,0.0,-9.964999,-5420.979
1233731,0.0,-9.964999,-5590.384
1233748,0.0,-9.964999,-5759.7886
1233763,0.0,-9.964999,-5909.2637
1233781,0.0,-9.964999,-6088.634
1233798,0.0,-9.964999,-6258.0386
1233814,0.0,-9.964999,-6417.4785
1233830,0.0,-9.964999,-6576.9185
1233847,0.0,-9.964999,-6746.323
1233864,0.0,-9.964999,-6915.728
1233882,0.0,-9.964999,-7095.098
1233898,0.0,-9.964999,-7254.538
1233915,0.0,-9.964999,-7423.943
1233930,0.0,-9.964999,-7573.418
1233947,0.0,-9.964999,-7742.8228
1233964,0.0,-9.964999,-7912.2275
1233981,0.0,-9.964999,-8081.6323
1233998,0.0,-9.964999,-8251.037
1234015,0.0,-9.964999,-8420.442
1234032,0.0,-9.964999,-8589.848
1234047,0.0,-9.964999,-8739.322
1234064,0.0,-9.964999,-8908.728
1234080,0.0,-9.964999,-9068.168
1234098,0.0,-9.964999,-9247.538
1234113,0.0,-9.964999,-9397.013
1234131,0.0,-9.964999,-9576.383
1234148,-0.060000002,-9.964999,-9735.823
1234164,-0.060000002,-10.414999,-9898.863
1234181,-0.06999999,-10.894999,-10079.998
1234198,-0.060000002,-11.454998,-10269.973
1234214,0.0,-11.934998,-10468.788
1234232,-0.060000002,-11.934998,-10671.683
1234247,0.0,-12.384997,-10866.242
1234265,-0.04000002,-12.384997,-11076.787
1234281,0.0,-12.704998,-11290.052
1234298,-0.050000012,-12.704998,-11493.332
1234314,0.0,-13.104998,-11712.717
1234331,-0.050000012,-13.104998,-11909.292
1234346,0.0,-13.479998,-12135.265
1234365,-0.050000012,-13.479998,-12364.425
1234380,0.0,-13.854998,-12596.772
1234397,0.0,-13.854998,-12832.308
1234414,0.0,-13.854998,-13067.843
1234431,0.0,-13.854998,-13303.378
1234446,0.0,-13.854998,-13511.203
1234464,0.0,-13.854998,-13760.593
1234481,0.0,-13.854998,-13996.128
1234498,0.0,-13.854998,-14231.663
1234515,0.0,-13.854998,-14467.198
1234531,0.0,-13.854998,-14688.878
1234547,0.0,-13.854998,-14910.558
1234565,0.0,-13.854998,-15159.947
1234580,0.0,-13.854998,-15367.772
1234598,0.0,-13.854998,-15617.162
1234614,0.0,-13.854998,-15838.842
1234631,0.0,-13.854998,-16074.377
1234648,0.0,-13.854998,-16309.912
1234664,0.0,-13.854998,-16531.592
1234681,0.0,-13.854998,-16767.127
1234698,0.0,-13.854998,-17002.662
1234715,0.0,-13.854998,-17238.197
1234732,0.0,-13.854998,-17473.732
1234747,0.0,-13.854998,-17681.557
1234764,0.0,-13.854998,-17917.092
1234780,0.0,-13.854998,-18138.771
1234798,0.0,-13.854998,-18388.162
